method,seed,representation,collect_noise,deploy_noise,success_rate,avg_reward,avg_len,off_support_state_ratio,sampled_success_rate,train_env_steps
online_opd,3,linear,0.05,0.2,1.0,0.9324000000000001,3.38,,,
sft,3,linear,0.05,0.3,0.7226666666666667,0.36846666666666655,3.8433333333333333,,,
offline_opd,3,linear,0.05,0.3,0.5453333333333333,0.03549333333333328,2.7586666666666666,0.0,,
rang_kd,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
offline_opd_support_aware,3,linear,0.05,0.3,0.7226666666666667,0.3684666666666666,3.8433333333333333,,,
online_opd,3,linear,0.05,0.3,1.0,0.9289466666666666,3.5526666666666666,,,
sft,3,linear,0.05,0.45,0.5733333333333334,0.060746666666666595,4.296,,,
offline_opd,3,linear,0.05,0.45,0.496,-0.06404000000000007,2.802,0.0,,
rang_kd,3,linear,0.05,0.45,1.0,0.9230533333333333,3.8473333333333333,,,
offline_opd_support_aware,3,linear,0.05,0.45,0.5733333333333334,0.06067999999999993,4.299333333333333,,,
online_opd,3,linear,0.05,0.45,1.0,0.9230533333333333,3.8473333333333333,,,
sft,4,linear,0.05,0.1,0.9013333333333333,0.7372266666666665,3.272,,,
offline_opd,4,linear,0.05,0.1,1.0,0.9386399999999999,3.068,0.010647544545849631,,
rang_kd,4,linear,0.05,0.1,1.0,0.9365466666666665,3.1726666666666667,,,
offline_opd_support_aware,4,linear,0.05,0.1,0.9013333333333333,0.7372266666666665,3.272,,,
online_opd,4,linear,0.05,0.1,1.0,0.9365466666666665,3.1726666666666667,,,
sft,4,linear,0.05,0.2,0.7853333333333333,0.49817333333333325,3.6246666666666667,,,
offline_opd,4,linear,0.05,0.2,1.0,0.9361733333333332,3.191333333333333,0.021725506580321706,,
rang_kd,4,linear,0.05,0.2,1.0,0.93168,3.416,,,
offline_opd_support_aware,4,linear,0.05,0.2,0.7853333333333333,0.49817333333333325,3.6246666666666667,,,
online_opd,4,linear,0.05,0.2,1.0,0.93168,3.416,,,
sft,4,linear,0.05,0.3,0.68,0.2811999999999999,3.94,,,
offline_opd,4,linear,0.05,0.3,1.0,0.9339866666666665,3.300666666666667,0.03272066249242577,,
rang_kd,4,linear,0.05,0.3,1.0,0.92724,3.638,,,
offline_opd_support_aware,4,linear,0.05,0.3,0.68,0.2811999999999999,3.94,,,
online_opd,4,linear,0.05,0.3,1.0,0.92724,3.638,,,
sft,4,linear,0.05,0.45,0.5426666666666666,-0.002013333333333409,4.367333333333334,,,
offline_opd,4,linear,0.05,0.45,1.0,0.9312533333333333,3.437333333333333,0.045190069821567105,,
rang_kd,4,linear,0.05,0.45,1.0,0.92196,3.902,,,
offline_opd_support_aware,4,linear,0.05,0.45,0.5426666666666666,-0.002013333333333409,4.367333333333334,,,
online_opd,4,linear,0.05,0.45,1.0,0.92196,3.902,,,
