method,seed,representation,collect_noise,deploy_noise,success_rate,avg_reward,avg_len,off_support_state_ratio,sampled_success_rate,train_env_steps
sft,2,tabular,0.0,0.3,0.6953333333333334,0.3122666666666666,3.92,,,
offline_opd,2,tabular,0.0,0.3,0.6953333333333334,0.3122666666666666,3.92,0.30833333333333335,,
rang_kd,2,tabular,0.0,0.3,0.6953333333333334,0.3122666666666666,3.92,,,
online_opd,2,tabular,0.0,0.3,1.0,0.9272000000000001,3.64,,,
sft,2,linear,0.05,0.3,0.6953333333333334,0.3121866666666666,3.924,,,
offline_opd,2,linear,0.05,0.3,0.6953333333333334,0.31255999999999995,3.9053333333333335,0.050358484124274495,,
rang_kd,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,,,
online_opd,2,linear,0.05,0.3,1.0,0.9272000000000001,3.64,,,
sft,2,tabular,0.05,0.3,0.6953333333333334,0.3122666666666666,3.92,,,
offline_opd,2,tabular,0.05,0.3,0.7086666666666667,0.3400266666666666,3.8653333333333335,0.11107278371852362,,
rang_kd,2,tabular,0.05,0.3,0.8986666666666666,0.7225066666666666,3.7413333333333334,,,
online_opd,2,tabular,0.05,0.3,1.0,0.9272000000000001,3.64,,,
sft,2,linear,0.15,0.3,0.6953333333333334,0.3121866666666666,3.924,,,
offline_opd,2,linear,0.15,0.3,0.692,0.3050399999999999,3.948,0.1308679500168862,,
rang_kd,2,linear,0.15,0.3,1.0,0.9272000000000001,3.64,,,
online_opd,2,linear,0.15,0.3,1.0,0.9272000000000001,3.64,,,
sft,2,tabular,0.15,0.3,0.6953333333333334,0.3122666666666666,3.92,,,
offline_opd,2,tabular,0.15,0.3,0.7046666666666667,0.33174666666666663,3.8793333333333333,0.12338889843615741,,
rang_kd,2,tabular,0.15,0.3,0.8986666666666666,0.7225066666666666,3.7413333333333334,,,
online_opd,2,tabular,0.15,0.3,1.0,0.9272000000000001,3.64,,,
sft,2,linear,0.3,0.3,0.6953333333333334,0.3121866666666666,3.924,,,
