method,seed,representation,collect_noise,deploy_noise,success_rate,avg_reward,avg_len,off_support_state_ratio,sampled_success_rate,train_env_steps,teacher_queries
offline_opd,4,linear,0.0,0.3,0.68,0.2811999999999999,3.94,0.32588832487309644,,,
rang_kd,4,linear,0.0,0.3,0.68,0.2811999999999999,3.94,,,,
offline_opd_full_adv,4,linear,0.0,0.3,0.68,0.2811999999999999,3.94,,,,
offline_opd_branch_replay,4,linear,0.0,0.3,0.68,0.2811999999999999,3.94,,,,
offline_opd,4,linear,0.05,0.3,1.0,0.9339866666666665,3.300666666666667,0.03272066249242577,,,
rang_kd,4,linear,0.05,0.3,1.0,0.92724,3.638,,,,
offline_opd_full_adv,4,linear,0.05,0.3,1.0,0.92724,3.638,,,,
offline_opd_branch_replay,4,linear,0.05,0.3,1.0,0.92724,3.638,,,,
offline_opd,4,linear,0.15,0.3,0.6813333333333333,0.2839066666666666,3.938,0.18926697138987641,,,
rang_kd,4,linear,0.15,0.3,1.0,0.92724,3.638,,,,
offline_opd_full_adv,4,linear,0.15,0.3,1.0,0.92724,3.638,,,,
offline_opd_branch_replay,4,linear,0.15,0.3,1.0,0.92724,3.638,,,,
offline_opd,4,linear,0.3,0.3,0.676,0.27275999999999995,3.962,0.02507151270402154,,,
rang_kd,4,linear,0.3,0.3,1.0,0.92724,3.638,,,,
offline_opd_full_adv,4,linear,0.3,0.3,1.0,0.92724,3.638,,,,
offline_opd_branch_replay,4,linear,0.3,0.3,1.0,0.92724,3.638,,,,
